name,price,availability,type,size,rating,reviews_count
Materac kieszeniowy Tasmania kokos,615.0,Dostępne z dostawą,kieszeniowy,120x200,5.0,2
Materac kieszeniowy Tasmania kokos,689.0,Dostępne z dostawą,kieszeniowy,140x200,5.0,3
Materac kieszeniowy Tasmania kokos,765.0,Dostępne z dostawą,kieszeniowy,160x200,,0
Materac kieszeniowy Tasmania kokos,509.0,Dostępne z dostawą,kieszeniowy,90x200,,0
Materac kieszeniowy Wega visco,1035.0,Dostępne z dostawą,kieszeniowy,120x200,,0
Materac kieszeniowy Wega visco,1169.0,Dostępne z dostawą,kieszeniowy,140x200,5.0,1
Materac kieszeniowy Wega visco,1309.0,Dostępne z dostawą,kieszeniowy,160x200,5.0,2
Materac kieszeniowy Wega visco,835.0,Dostępne z dostawą,kieszeniowy,90x200,,0
Materac piankowy Bari 8x,185.0,Dostępne z dostawą,piankowy,90x200,5.0,1
Materac piankowy Alan visco,899.0,Dostępne z dostawą,piankowy,120x200,,0
Materac piankowy Alan visco,1159.0,Dostępne z dostawą,piankowy,160x200,,0
Materac piankowy Alan visco,699.0,Dostępne z dostawą,piankowy,80x200,,0
Materac piankowy Aster molet,595.0,Dostępne z dostawą,piankowy,80x200,,0
Materac piankowy Bari,269.0,Dostępne z dostawą,piankowy,120x200,5.0,3
Materac piankowy Bari,309.0,Dostępne z dostawą,piankowy,140x200,5.0,4
Materac piankowy Bari,349.0,Dostępne z dostawą,piankowy,160x200,5.0,2
Materac piankowy Bari,165.0,Dostępne z dostawą,piankowy,80x200,5.0,1
Materac piankowy Celesta kokos molet,575.0,Dostępne z dostawą,piankowy,120x200,5.0,2
Materac piankowy Celesta kokos molet,649.0,Dostępne z dostawą,piankowy,140x200,5.0,2
Materac piankowy Celesta kokos molet,725.0,Dostępne z dostawą,piankowy,160x200,5.0,1
Materac piankowy Celesta kokos molet,435.0,Dostępne z dostawą,piankowy,80x200,,0
Materac piankowy Celesta kokos molet,459.0,Dostępne z dostawą,piankowy,90x200,4.0,1
Materac piankowy Dorado lateks,1235.0,Dostępne z dostawą,piankowy,120x200,5.0,1
Materac piankowy Dorado lateks,1405.0,Dostępne z dostawą,piankowy,140x200,,0
Materac piankowy Dorado lateks,1575.0,Dostępne z dostawą,piankowy,160x200,5.0,1
Materac piankowy Dorado lateks,969.0,Dostępne z dostawą,piankowy,80x200,,0
Materac piankowy Dorado lateks,975.0,Dostępne z dostawą,piankowy,90x200,,0
Materac piankowy Erato visco,895.0,Dostępne z dostawą,piankowy,120x200,,0
Materac piankowy Erato visco,1025.0,Dostępne z dostawą,piankowy,140x200,5.0,1
